kanji,jlpt_level,meanings
一,N5,one|one radical (no.1)
七,N5,seven
万,N5,"10,000|ten thousand"
三,N5,three
上,N5,above|up
下,N5,below|descend|down|give|inferior|low
中,N5,center|in|inside|mean|middle
九,N5,nine
二,N5,two|two radical (no. 7)
五,N5,five
人,N5,person
今,N5,now
休,N5,day off|rest|retire|sleep
何,N5,what
先,N5,ahead|before|future|precedence|previous
入,N5,enter|insert
八,N5,eight|eight radical (no. 12)
六,N5,six
円,N5,circle|round|yen
出,N5,come out|exit|go out|leave|protrude|put out
前,N5,before|in front
北,N5,north
十,N5,ten
千,N5,thousand
午,N5,11AM-1PM|noon|seventh sign of Chinese zodiac|sign of the horse
半,N5,half|middle|odd number|part-|semi-
南,N5,south
友,N5,friend
右,N5,right
名,N5,distinguished|name|noted|reputation
四,N5,four
国,N5,country
土,N5,Turkey|earth|ground|soil
外,N5,outside
大,N5,big|large
天,N5,heavens|imperial|sky
女,N5,female|woman
子,N5,11PM-1AM|child|first sign of Chinese zodiac|sign of the rat
学,N5,learning|science|study
小,N5,little|small
山,N5,mountain
川,N5,river|river or three-stroke river radical (no. 47)|stream
左,N5,left
年,N5,counter for years|year
後,N5,back|behind|later
日,N5,Japan|counter for days|day|sun
時,N5,hour|time
書,N5,write
月,N5,month|moon
木,N5,tree|wood
本,N5,book|counter for long cylindrical things|main|origin|present|real|true
来,N5,become|cause|come|due|next
東,N5,east
校,N5,correction|exam|printing|proof|school
母,N5,mother
毎,N5,every
気,N5,air|atmosphere|mind|mood|spirit
水,N5,water
火,N5,fire
父,N5,father
生,N5,birth|genuine|life
男,N5,male
白,N5,white
百,N5,hundred
聞,N5,ask|hear|listen
行,N5,act|bank|carry out|conduct|going|journey|line|row
西,N5,Spain|west
見,N5,chances|hopes|idea|look at|opinion|see|visible
話,N5,tale|talk
語,N5,language|speech|word
読,N5,read
車,N5,car
金,N5,gold
長,N5,leader|long|senior|superior
間,N5,interval|space
雨,N5,rain
電,N5,electricity
食,N5,eat|food
高,N5,expensive|high|tall
不,N4,bad|clumsy|negative|non-|ugly
世,N4,generation|public|society|world
主,N4,chief|lord|main thing|master|principal
事,N4,business|fact|matter|possibly|reason|thing
京,N4,10**16|capital
仕,N4,attend|doing|official|serve
代,N4,"age|change|charge|convert|counter for decades of ages, eras, etc.|fee|generation|period|rate|replace|substitute"
以,N4,because|by means of|compared with|in view of
会,N4,association|interview|join|meet|meeting|party
住,N4,dwell|inhabit|live|reside
体,N4,body|counter for images|object|reality|substance
作,N4,build|make|prepare|production
使,N4,ambassador|cause|envoy|messenger|order|send on a mission|use
借,N4,borrow|rent
元,N4,beginning|former time|origin
兄,N4,big brother|elder brother
公,N4,governmental|official|prince|public
写,N4,be photographed|copy|describe
冬,N4,winter
切,N4,be sharp|cut|cutoff
別,N4,another|branch off|diverge|extra|fork|separate|specially
力,N4,bear up|exert|power|strain|strength|strong
勉,N4,diligent|encourage|endeavour|exertion|make effort|strive
動,N4,change|confusion|motion|move|shake|shift
医,N4,doctor|medicine
去,N4,divorce|elapse|eliminate|gone|leave|past|quit
口,N4,mouth
古,N4,old
台,N4,a stand|counter for machines and vehicles|pedestal
同,N4,agree|equal|same
味,N4,flavor|taste
品,N4,article|counter for meal courses|dignity|goods|refinement
員,N4,employee|member|number|the one in charge
問,N4,ask|problem|question
図,N4,audacious|drawing|extraordinary|map|plan
地,N4,earth|ground
堂,N4,hall|public chamber
場,N4,location|place
売,N4,sell
夏,N4,summer
夕,N4,evening
多,N4,frequent|many|much
夜,N4,evening|night
妹,N4,younger sister
姉,N4,elder sister
始,N4,begin|commence
字,N4,character|letter|section of village|word
安,N4,cheap|contented|low|peaceful|quiet|relax|rested
室,N4,apartment|cellar|chamber|greenhouse|room
家,N4,expert|family|home|house|performer|professional
少,N4,few|little
屋,N4,dealer|house|roof|seller|shop
工,N4,construction|craft|katakana e radical (no. 48)
帰,N4,arrive at|homecoming|lead to|result in
広,N4,broad|spacious|wide
店,N4,shop|store
度,N4,attitude|consider|counter for occurrences|degrees|occurrence|time
建,N4,build
弟,N4,faithful service to elders|younger brother
強,N4,strong
待,N4,depend on|wait
心,N4,heart|heart radical (no. 61)|mind|spirit
思,N4,think
急,N4,emergency|hurry|steep|sudden
悪,N4,bad|evil|false|rascal|vice|wrong
意,N4,care|desire|heart|idea|liking|mind|taste|thought
手,N4,hand
持,N4,have|hold
教,N4,doctrine|faith|teach
文,N4,art|decoration|figures|literary radical (no. 67)|literature|plan|sentence|style
料,N4,fee|materials
新,N4,new
方,N4,alternative|direction|person
旅,N4,travel|trip
族,N4,family|tribe
早,N4,early|fast
明,N4,bright|light
映,N4,projection|reflect|reflection
春,N4,spring (season)|springtime
昼,N4,daytime|noon
曜,N4,weekday
有,N4,approx|exist|happen|have|occur|possess
服,N4,admit|clothing|discharge|obey
朝,N4,(North) Korea|dynasty|epoch|morning|period|regime
業,N4,arts|business|performance|vocation
楽,N4,comfort|ease|music
歌,N4,sing|song
止,N4,halt|stop
正,N4,10**40|correct|justice|righteous
歩,N4,counter for steps|walk
死,N4,death|die
注,N4,annotate|comment|concentrate on|flow into|irrigate|notes|pour|shed (tears)
洋,N4,Western style|foreign|ocean|sea
海,N4,ocean|sea
漢,N4,China|Sino-
牛,N4,cow
物,N4,matter|object|thing
特,N4,special
犬,N4,dog
理,N4,arrangement|justice|logic|reason|truth
用,N4,business|employ|service|use|utilize
田,N4,rice field|rice paddy
町,N4,block|street|town|village
画,N4,brush-stroke|picture
界,N4,boundary|world
病,N4,ill|sick
発,N4,counter for gunshots|departure|discharge|disclose|emit|publish|start from
目,N4,care|class|experience|eye|favor|insight|look
真,N4,Buddhist sect|reality|true
着,N4,arrive|counter for suits of clothing|don|wear
知,N4,know|wisdom
研,N4,polish|sharpen|study of
社,N4,association|company|firm|office|shrine
私,N4,I|me|private
秋,N4,autumn
究,N4,research|study
空,N4,empty|sky|vacant|vacuum|void
立,N4,erect|rise|set up|stand up
答,N4,answer|solution
紙,N4,paper
終,N4,end|finish
習,N4,learn
考,N4,consider|think over
者,N4,person|someone
肉,N4,meat
自,N4,oneself
色,N4,color
花,N4,flower
英,N4,England|English|calyx|hero|outstanding
茶,N4,tea
親,N4,dealer (cards)|familiarity|intimacy|parent|relative
言,N4,say|word
計,N4,measure|plan|plot|scheme
試,N4,attempt|experiment|ordeal|test|try
買,N4,buy
貸,N4,lend
質,N4,matter|quality|substance|temperament
赤,N4,red
走,N4,run
起,N4,get up|rouse|wake up
足,N4,be sufficient|counter for pairs of footwear|foot|leg
転,N4,change|revolve|turn around
近,N4,akin|early|near|tantamount
送,N4,escort|send
通,N4,"avenue|commute|counter for letters, notes, documents, etc.|pass through|traffic"
週,N4,week
運,N4,advance|carry|destiny|fate|lot|luck|progress|transport
道,N4,course|district|journey|moral|road-way|street|teachings
重,N4,-fold|esteem|heap up|heavy|important|nest of boxes|pile up|respect
野,N4,civilian life|field|plains|rustic
銀,N4,silver
